feature,count,mean,std,min,median,max,missing
physiology__eda_mean,150,1.2204383701018324,0.4950981144601693,0.3004804155737751,1.1811101832463207,2.305778153065414,30
physiology__heart_rate,150,72.0067570624335,6.9123555887071815,56.03965387570252,71.360460784071,85.35090600957987,30
physiology__temperature_mean,150,33.32600254160844,0.10466266055880717,33.03381801131551,33.31833805362854,33.58040236108652,30
physiology__motion_rms,150,0.3133130441238872,0.36273086759407996,-0.043681778563081364,0.20187374737937736,1.4851075145802717,30
speech__pitch_mean,165,154.151641917428,11.248513429776194,130.97803467598158,153.77190106617837,184.78746842221122,15
speech__speaking_rate,165,3.082180772000111,0.2585750132613334,2.459588417766677,3.0573891011979932,3.7149854578202652,15
speech__pause_fraction,165,0.23558530497231545,0.04365352503393388,0.10450318385663035,0.23534750019927553,0.331507279126612,15
speech__negative_word_rate,165,0.16336836550081926,0.12110535602049467,-0.05134535761841694,0.1990170195535273,0.38676669570708355,15
context__ambient_light,180,0.5297330796701648,0.2628497275151555,0.1428202455134639,0.5505754372800133,0.9208807952479426,0
usable_modality_count,180,2.75,0.5055557260864236,1.0,3.0,3.0,0
data_quality_score,180,0.9166666666666666,0.1685185753621412,0.3333333333333333,1.0,1.0,0
